,period_begin,period_end,region_type,region_type_id,region_name,region_id,duration,adjusted_average_homes_sold,active_listings
1595563,2021-07-12,2021-07-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,284.0,2346
1651395,2021-03-15,2021-03-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,273.0,2247
1676980,2021-02-15,2021-02-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,211.0,2161
1677037,2021-02-22,2021-02-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,292.0,2277
1682790,2021-03-01,2021-03-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,246.0,2301
1682847,2021-03-08,2021-03-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,305.0,2292
1687893,2021-05-10,2021-05-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,337.0,2316
1688478,2021-06-14,2021-06-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,311.0,2318
1688535,2021-06-21,2021-06-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,377.0,2346
1691993,2021-02-01,2021-02-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,167.0,2081
1692050,2021-02-08,2021-02-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,192.0,2127
1705030,2022-10-10,2022-10-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,177.0,2782
1706994,2021-08-09,2021-08-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,270.0,2191
1707051,2021-08-16,2021-08-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,307.0,2169
1726040,2022-07-11,2022-07-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,199.0,2646
1744446,2022-10-03,2022-10-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,194.0,2762
1785788,2021-09-27,2021-10-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,319.0,2647
1785845,2021-10-04,2021-10-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,271.0,2594
1791357,2022-02-21,2022-02-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,209.0,1758
1791414,2022-02-28,2022-03-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,266.0,1883
1854285,2022-01-17,2022-01-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,141.0,1395
